dataset_id,model_id,metric_id,budget_per_class,budget_id,point_status,value,attempted_repeats,successful_repeats,non_success_repeats,budget_repeat_id,single_frozen_subset_limitation,integration_revision,integration_source,aggregation_rule,source_run_cell_ids_json,successful_repeat_count,planned_repeat_count,scientific_numeric_result_recomputed,scientific_numeric_result_aggregated_from_existing_metrics
BNCI2014_001,CLS-CSP-LDA,ACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.4965277777777778,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
BNCI2014_001,RIE-TS-LR,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5416666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
BNCI2014_001,RIE-TS-LR,F1_MACRO,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5285714285714286,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
BNCI2014_001,RIE-TS-LR,ACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5416666666666666,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
BNCI2014_001,RIE-TS-LR,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5625,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
BNCI2014_001,RIE-TS-LR,F1_MACRO,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5594405594405594,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
BNCI2014_001,RIE-TS-LR,ACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5625,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
BNCI2014_001,RIE-TS-LR,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5902777777777778,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
BNCI2014_001,RIE-TS-LR,F1_MACRO,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5822187254130606,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
BNCI2014_001,RIE-TS-LR,ACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5902777777777778,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
BNCI2014_001,RIE-TS-LR,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.4861111111111111,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
BNCI2014_001,RIE-TS-LR,F1_MACRO,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.4860119621840633,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
BNCI2014_001,RIE-TS-LR,ACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.4861111111111111,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
BNCI2014_001,RIE-TS-LR,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5208333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False
