budget_short,role_id,condition_short,n_effects,BACC_A4_mean,BACC_A4_sd,delta_BACC_mean,delta_BACC_median,delta_BACC_sd,delta_BACC_min,delta_BACC_max,positive_delta_fraction,negative_delta_fraction,delta_F1_mean
128,NEURAL,C1,9,0.5909661891200098,0.0304066009210003,0.019402717335853,0.0166666666666666,0.0286855768225534,-0.03125,0.0694444444444444,0.8888888888888888,0.1111111111111111,0.0213808391361269
128,NEURAL,C2,9,0.5755566701268281,0.0287836533729056,0.0039931983426713,0.0083333333333333,0.0275947241591076,-0.03125,0.0451850521020481,0.5555555555555556,0.4444444444444444,0.0041345794387763
128,NEURAL,C3,9,0.5715006620886067,0.0225325334970234,-6.280969555012067e-05,-0.008803449514912,0.0326739855838305,-0.0625,0.0442867409270572,0.4444444444444444,0.5555555555555556,-0.0018888593183691
128,SSL,C2,9,0.5174486132737122,0.0186964130880708,0.0021078261756786,0.0,0.0139876939517339,-0.015,0.0216666666666667,0.4444444444444444,0.4444444444444444,-0.0032872000099112
128,SSL,C3,9,0.5216673542628746,0.0230550355198228,0.0063265671648411,0.0119475386273805,0.0247543862991221,-0.0416666666666667,0.0347222222222222,0.6666666666666666,0.3333333333333333,0.0070909585663763
256,NEURAL,C1,9,0.6421748834413524,0.0600730916568299,0.03291333404311,0.0266666666666667,0.0226877173563066,0.0116666666666667,0.0833333333333332,1.0,0.0,0.0335935482133452
256,NEURAL,C2,9,0.6263215321861567,0.034276734701806,0.0170599827879143,0.00799496945742,0.0518480291998452,-0.0816666666666665,0.0868055555555555,0.5555555555555556,0.2222222222222222,0.0186828330040304
256,NEURAL,C3,9,0.6323172214015429,0.0349643478554694,0.0230556720033004,0.0138888888888889,0.0580665035703373,-0.0799999999999998,0.1076388888888888,0.6666666666666666,0.3333333333333333,0.0232691194833053
256,SSL,C2,9,0.5442099186862033,0.0260611119007835,0.0177520982774606,0.0145526410348545,0.0169649612407199,-0.005,0.0451388888888889,0.8888888888888888,0.1111111111111111,0.0199404054338434
256,SSL,C3,9,0.5426608420613691,0.0276615494559986,0.0162030216526264,0.0083333333333334,0.0196589051521939,-0.0016666666666667,0.048611111111111,0.7777777777777778,0.1111111111111111,0.0185134008992364
64,NEURAL,C1,9,0.5490476737067647,0.0325095772242727,0.005735001530456,0.0116666666666666,0.0329920562264358,-0.0596478620194035,0.0449155587495507,0.5555555555555556,0.4444444444444444,-0.0026859819670669
64,NEURAL,C2,9,0.537729141436322,0.0280372517738782,-0.0055835307399866,0.0133333333333333,0.0426677087972569,-0.0574020840819259,0.0441070786920589,0.5555555555555556,0.4444444444444444,-0.0172914325617093
64,NEURAL,C3,9,0.5397722060304405,0.0254016686959184,-0.003540466145868,-0.0104166666666667,0.0412972906115518,-0.0583333333333333,0.0833333333333332,0.4444444444444444,0.5555555555555556,0.0004508393228196
64,SSL,C2,9,0.4938206616006353,0.0105980466005345,-0.0107311753902662,-0.0110492274523894,0.0236316691977249,-0.048611111111111,0.0199999999999999,0.3333333333333333,0.6666666666666666,-0.0077026913032549
64,SSL,C3,9,0.501536927243449,0.0134510291474493,-0.0030149097474525,-0.0128458498023715,0.0285462941248435,-0.0451388888888888,0.0366666666666666,0.4444444444444444,0.5555555555555556,0.0002241121566166
