branch,successful_member_receipts,recipe_ids,execution_devices,epochs_min,epochs_median,epochs_max,best_epoch_median
DNN-EEGNET,216,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0|cuda:1,121.0,218.5,567.0,98.5
SSL-CBRAMOD,162,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0|cuda:1,41.0,54.5,134.0,14.5
