source,dataset_id,budget_id,budget_short,model_repeat_index,role_id,condition_id,condition_short,resolved_branch,a4_run_cell_id,c0_run_cell_id,BACC_C0,BACC_A4,delta_BACC,F1_C0,F1_A4,delta_F1
CANONICAL_STAGE18_MR00,PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,DNN-EEGNET,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-PhysioNetMI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.5,0.5004491555874955,0.0004491555874954,0.3382352941176471,0.4155844155844156,0.0773491214667685
CANONICAL_STAGE18_MR00,PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,DNN-EEGNET,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-PhysioNetMI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.5,0.5034135824649658,0.0034135824649658,0.3382352941176471,0.4394373315363881,0.101202037418741
CANONICAL_STAGE18_MR00,PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,SSL-CBRAMOD,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-PhysioNetMI-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.5028745957599713,0.4744879626302551,-0.0283866331297161,0.4983567815073298,0.4702278682407358,-0.028128913266594
CANONICAL_STAGE18_MR00,PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,SSL,A4-C3-MULTI-PROB-AVG,C3,SSL-CBRAMOD,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-PhysioNetMI-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.5028745957599713,0.5014372978799856,-0.0014372978799856,0.4983567815073298,0.4940319176998153,-0.0043248638075145
CANONICAL_STAGE18_MR00,BNCI2014_001,FULL_TRAIN,FULL,0,NEURAL,A4-C1-LONG-3P5S,C1,DNN-EEGNET,P02-A4-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,P02-A4-BNCI2014_001-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,0.6458333333333334,0.6006944444444444,-0.0451388888888889,0.6274350649350648,0.5932353266276114,-0.0341997383074534
CANONICAL_STAGE18_MR00,BNCI2014_001,FULL_TRAIN,FULL,0,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,DNN-EEGNET,P02-A4-BNCI2014_001-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,P02-A4-BNCI2014_001-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,0.6458333333333334,0.6145833333333333,-0.0312500000000001,0.6274350649350648,0.6125231809752373,-0.0149118839598275
CANONICAL_STAGE18_MR00,BNCI2014_001,FULL_TRAIN,FULL,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,DNN-EEGNET,P02-A4-BNCI2014_001-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,P02-A4-BNCI2014_001-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,0.6458333333333334,0.6006944444444444,-0.0451388888888889,0.6274350649350648,0.5960138077406292,-0.0314212571944356
CANONICAL_STAGE18_MR00,BNCI2014_001,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,SSL-CBRAMOD,P02-A4-BNCI2014_001-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,P02-A4-BNCI2014_001-SSL-A4-C0-CORE-FULL_TRAIN-MR00,0.5625,0.6145833333333333,0.0520833333333332,0.545308740978348,0.6121094460959777,0.0668007051176297
CANONICAL_STAGE18_MR00,BNCI2014_001,FULL_TRAIN,FULL,0,SSL,A4-C3-MULTI-PROB-AVG,C3,SSL-CBRAMOD,P02-A4-BNCI2014_001-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,P02-A4-BNCI2014_001-SSL-A4-C0-CORE-FULL_TRAIN-MR00,0.5625,0.6527777777777778,0.0902777777777777,0.545308740978348,0.6510951734832332,0.1057864325048851
CANONICAL_STAGE18_MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,NEURAL,A4-C1-LONG-3P5S,C1,DNN-EEGNET,P02-A4-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-BNCI2014_001-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.5,0.5069444444444444,0.0069444444444444,0.428287841191067,0.399118424919189,-0.029169416271878
CANONICAL_STAGE18_MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,DNN-EEGNET,P02-A4-BNCI2014_001-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-BNCI2014_001-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.5,0.4965277777777778,-0.0034722222222222,0.428287841191067,0.3547489917952997,-0.0735388493957673
CANONICAL_STAGE18_MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,DNN-EEGNET,P02-A4-BNCI2014_001-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-BNCI2014_001-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.5,0.4791666666666667,-0.0208333333333333,0.428287841191067,0.4010647737355811,-0.0272230674554858
CANONICAL_STAGE18_MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,SSL-CBRAMOD,P02-A4-BNCI2014_001-SSL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-BNCI2014_001-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.5173611111111112,0.5798611111111112,0.0625,0.4976849237718803,0.5627329192546584,0.065047995482778
CANONICAL_STAGE18_MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,SSL,A4-C3-MULTI-PROB-AVG,C3,SSL-CBRAMOD,P02-A4-BNCI2014_001-SSL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-BNCI2014_001-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.5173611111111112,0.5416666666666666,0.0243055555555554,0.4976849237718803,0.5111111111111111,0.0134261873392307
CANONICAL_STAGE18_MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,NEURAL,A4-C1-LONG-3P5S,C1,DNN-EEGNET,P02-A4-BNCI2014_001-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-BNCI2014_001-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.4895833333333333,0.4861111111111111,-0.0034722222222221,0.4885412262156448,0.4673864147548358,-0.0211548114608089
CANONICAL_STAGE18_MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,DNN-EEGNET,P02-A4-BNCI2014_001-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-BNCI2014_001-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.4895833333333333,0.5,0.0104166666666666,0.4885412262156448,0.3333333333333333,-0.1552078928823115
CANONICAL_STAGE18_MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,DNN-EEGNET,P02-A4-BNCI2014_001-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-BNCI2014_001-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.4895833333333333,0.5104166666666666,0.0208333333333333,0.4885412262156448,0.3560724989296418,-0.132468727286003
CANONICAL_STAGE18_MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,SSL-CBRAMOD,P02-A4-BNCI2014_001-SSL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-BNCI2014_001-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.5347222222222222,0.5520833333333333,0.017361111111111,0.5302823758519961,0.5248071831472314,-0.0054751927047647
CANONICAL_STAGE18_MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,SSL,A4-C3-MULTI-PROB-AVG,C3,SSL-CBRAMOD,P02-A4-BNCI2014_001-SSL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-BNCI2014_001-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.5347222222222222,0.5173611111111112,-0.017361111111111,0.5302823758519961,0.4976849237718803,-0.0325974520801157
CANONICAL_STAGE18_MR00,Lee2019_MI,FULL_TRAIN,FULL,0,NEURAL,A4-C1-LONG-3P5S,C1,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,0.7383333333333333,0.7683333333333333,0.03,0.7383326064794624,0.7671373247596684,0.028804718280206
