branch,member,successful_receipts,recipe_ids,execution_devices,epochs_min,epochs_median,epochs_max,best_epoch_median
DNN-EEGNET,1,54,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0|cuda:1,121.0,218.5,491.0,98.5
DNN-EEGNET,2,54,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0|cuda:1,121.0,238.5,567.0,118.5
DNN-EEGNET,3,54,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0|cuda:1,121.0,213.5,537.0,93.5
DNN-EEGNET,LONG,54,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0|cuda:1,121.0,204.5,552.0,84.5
SSL-CBRAMOD,1,54,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0|cuda:1,41.0,55.5,134.0,15.5
SSL-CBRAMOD,2,54,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0|cuda:1,41.0,53.5,127.0,13.5
SSL-CBRAMOD,3,54,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0|cuda:1,41.0,54.0,114.0,14.0
