group_id,report_id,bin_index,lower,upper,count,mean_confidence,accuracy,absolute_gap
GROUP-8940cdaac97b4e69b473,P03-RELIABILITY-80ca058b66f48d4e3b35,5,0.3333333333333333,0.4,0,,,
GROUP-8940cdaac97b4e69b473,P03-RELIABILITY-80ca058b66f48d4e3b35,6,0.4,0.4666666666666667,0,,,
GROUP-8940cdaac97b4e69b473,P03-RELIABILITY-80ca058b66f48d4e3b35,7,0.4666666666666667,0.5333333333333333,112,0.5162575715644457,0.5625,0.04624242843555426
GROUP-8940cdaac97b4e69b473,P03-RELIABILITY-80ca058b66f48d4e3b35,8,0.5333333333333333,0.6,149,0.5514031045933867,0.4899328859060403,0.06147021868734642
GROUP-8940cdaac97b4e69b473,P03-RELIABILITY-80ca058b66f48d4e3b35,9,0.6,0.6666666666666666,21,0.6328021824580842,0.5714285714285714,0.061373611029512776
GROUP-8940cdaac97b4e69b473,P03-RELIABILITY-80ca058b66f48d4e3b35,10,0.6666666666666666,0.7333333333333333,4,0.6828260323613752,0.25,0.4328260323613752
GROUP-8940cdaac97b4e69b473,P03-RELIABILITY-80ca058b66f48d4e3b35,11,0.7333333333333333,0.8,2,0.7545133337999683,0.5,0.2545133337999683
GROUP-8940cdaac97b4e69b473,P03-RELIABILITY-80ca058b66f48d4e3b35,12,0.8,0.8666666666666667,0,,,
GROUP-8940cdaac97b4e69b473,P03-RELIABILITY-80ca058b66f48d4e3b35,13,0.8666666666666667,0.9333333333333333,0,,,
GROUP-8940cdaac97b4e69b473,P03-RELIABILITY-80ca058b66f48d4e3b35,14,0.9333333333333333,1.0,0,,,
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,0,0.0,0.06666666666666667,0,,,
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,1,0.06666666666666667,0.13333333333333333,0,,,
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,2,0.13333333333333333,0.2,0,,,
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,3,0.2,0.26666666666666666,0,,,
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,4,0.26666666666666666,0.3333333333333333,0,,,
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,5,0.3333333333333333,0.4,0,,,
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,6,0.4,0.4666666666666667,0,,,
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,7,0.4666666666666667,0.5333333333333333,35,0.5141723096780374,0.5428571428571428,0.028684833179105418
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,8,0.5333333333333333,0.6,59,0.568444477956916,0.5932203389830508,0.024775861026134827
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,9,0.6,0.6666666666666666,69,0.6318082950975851,0.5942028985507246,0.03760539654686046
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,10,0.6666666666666666,0.7333333333333333,54,0.7024714255068031,0.7037037037037037,0.001232278196900638
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,11,0.7333333333333333,0.8,41,0.7615862712913968,0.6585365853658537,0.10304968592554309
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,12,0.8,0.8666666666666667,21,0.8344772642678583,0.6666666666666666,0.16781059760119166
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,13,0.8666666666666667,0.9333333333333333,8,0.8973706801503807,0.625,0.2723706801503807
GROUP-feddf19fa01695448c20,P03-RELIABILITY-58d0f925b285c0858b45,14,0.9333333333333333,1.0,1,0.9340474992830865,1.0,0.0659525007169135
GROUP-86c7eb6e539e2a6ad4e7,P03-RELIABILITY-97d10082b5ca4b8c0904,0,0.0,0.06666666666666667,0,,,
GROUP-86c7eb6e539e2a6ad4e7,P03-RELIABILITY-97d10082b5ca4b8c0904,1,0.06666666666666667,0.13333333333333333,0,,,
GROUP-86c7eb6e539e2a6ad4e7,P03-RELIABILITY-97d10082b5ca4b8c0904,2,0.13333333333333333,0.2,0,,,
GROUP-86c7eb6e539e2a6ad4e7,P03-RELIABILITY-97d10082b5ca4b8c0904,3,0.2,0.26666666666666666,0,,,
GROUP-86c7eb6e539e2a6ad4e7,P03-RELIABILITY-97d10082b5ca4b8c0904,4,0.26666666666666666,0.3333333333333333,0,,,
GROUP-86c7eb6e539e2a6ad4e7,P03-RELIABILITY-97d10082b5ca4b8c0904,5,0.3333333333333333,0.4,0,,,
GROUP-86c7eb6e539e2a6ad4e7,P03-RELIABILITY-97d10082b5ca4b8c0904,6,0.4,0.4666666666666667,0,,,
GROUP-86c7eb6e539e2a6ad4e7,P03-RELIABILITY-97d10082b5ca4b8c0904,7,0.4666666666666667,0.5333333333333333,30,0.5152254246658554,0.4666666666666667,0.04855875799918874
GROUP-86c7eb6e539e2a6ad4e7,P03-RELIABILITY-97d10082b5ca4b8c0904,8,0.5333333333333333,0.6,39,0.5631703941209476,0.48717948717948717,0.07599090694146043
GROUP-86c7eb6e539e2a6ad4e7,P03-RELIABILITY-97d10082b5ca4b8c0904,9,0.6,0.6666666666666666,52,0.6292181193269588,0.4230769230769231,0.20614119625003574
GROUP-86c7eb6e539e2a6ad4e7,P03-RELIABILITY-97d10082b5ca4b8c0904,10,0.6666666666666666,0.7333333333333333,52,0.6982127555863277,0.7115384615384616,0.013325705952133893
