dataset,1/class,2/class,4/class,8/class,16/class,32/class,FULL
BNCI2014_001,0.5243055555555556,0.525,0.5354166666666667,0.5416666666666667,0.56875,0.5076388888888889,0.6090277777777777
Lee2019_MI,0.5273333333333333,0.49833333333333335,0.5243333333333333,0.5226666666666666,0.49800000000000005,0.5226666666666666,0.7416666666666666
PhysioNetMI,0.4917355371900826,0.49698167445203023,0.4984189723320158,0.49705353934602947,0.5255300035932446,0.5262486525332375,0.6281171397772188
