dataset,MR00,MR01,MR02,MR03,MR04
BNCI2014_001,0.6458333333333334,0.5972222222222222,0.6041666666666666,0.6458333333333333,0.5520833333333334
Lee2019_MI,0.7383333333333333,0.735,0.7383333333333333,0.7566666666666666,0.74
PhysioNetMI,0.6442687747035574,0.6296263025512037,0.6046532518864535,0.6393280632411067,0.622709306503773
