dataset,budget,SUCCESS_N,BACC_MEAN,BACC_SD,BACC_MIN,BACC_MAX,F1_MEAN,F1_SD,ACC_MEAN,AUC_MEAN,BEST_EPOCH_MEAN
BNCI2014_001,1/class,5,0.5243055555555556,0.02644365661758303,0.5,0.5555555555555556,0.469869248626976,0.07519791286700045,0.5243055555555556,0.553761574074074,998.2
BNCI2014_001,2/class,5,0.525,0.008987624378850511,0.513888888888889,0.5381944444444444,0.49104026469625134,0.05782773753377129,0.525,0.5368730709876542,706.6
BNCI2014_001,4/class,5,0.5354166666666667,0.03750964382168442,0.4861111111111111,0.5833333333333333,0.5045105439692935,0.05799901158380106,0.5354166666666667,0.5517746913580247,363.0
BNCI2014_001,8/class,5,0.5416666666666667,0.03858699786613348,0.4895833333333333,0.5972222222222222,0.5215688103002025,0.052223128275888396,0.5416666666666666,0.5733989197530864,799.4
BNCI2014_001,16/class,5,0.56875,0.017430417219459867,0.5416666666666667,0.5833333333333334,0.5433607685198153,0.04508784923000225,0.56875,0.5827498070987654,597.4
BNCI2014_001,32/class,5,0.5076388888888889,0.03099821405648003,0.4756944444444444,0.5590277777777777,0.4806559801766162,0.046984112514346484,0.507638888888889,0.5291087962962963,600.6
BNCI2014_001,FULL,5,0.6090277777777777,0.03909913405627566,0.5520833333333334,0.6458333333333334,0.5975607392577175,0.0390911089430692,0.6090277777777777,0.6450038580246914,243.8
Lee2019_MI,1/class,5,0.5273333333333333,0.028421431663056305,0.495,0.5683333333333334,0.514966575745983,0.033504822651847704,0.5273333333333333,0.5286822222222223,110.2
Lee2019_MI,2/class,5,0.49833333333333335,0.020378365434395834,0.4633333333333333,0.5166666666666667,0.42244803094285055,0.04822327204909856,0.49833333333333335,0.5052444444444444,61.4
Lee2019_MI,4/class,5,0.5243333333333333,0.023938578812359678,0.5066666666666666,0.565,0.5035451419783176,0.036598669037744946,0.5243333333333333,0.51824,245.2
Lee2019_MI,8/class,5,0.5226666666666666,0.020635729532375024,0.495,0.54,0.474384791504708,0.029955121094090324,0.5226666666666666,0.5561144444444445,667.6
Lee2019_MI,16/class,5,0.49800000000000005,0.01962849402724972,0.4766666666666667,0.52,0.45637657799917264,0.02925009699788503,0.49800000000000005,0.5177433333333333,339.6
Lee2019_MI,32/class,5,0.5226666666666666,0.023112045921265117,0.5016666666666667,0.5483333333333333,0.49410032597994746,0.053922105738422516,0.5226666666666666,0.5435933333333333,395.0
Lee2019_MI,FULL,5,0.7416666666666666,0.008579691784155852,0.735,0.7566666666666666,0.7409404615674098,0.007675329371871852,0.7416666666666666,0.82134,368.0
PhysioNetMI,1/class,5,0.4917355371900826,0.009769314721132794,0.4792490118577075,0.5064678404599353,0.4734065260919588,0.025573620400642975,0.49252525252525253,0.48282265704112637,122.8
PhysioNetMI,2/class,5,0.49698167445203023,0.01108124274527746,0.47799137621272003,0.5051203736974488,0.4935099196693331,0.012828174398920715,0.4981818181818182,0.495810603338451,453.0
PhysioNetMI,4/class,5,0.4984189723320158,0.007726677241607562,0.490298239310097,0.5100610851598995,0.4917422989847591,0.013633734962405861,0.5006060606060606,0.5002694933524973,585.0
PhysioNetMI,8/class,5,0.49705353934602947,0.01049668055343254,0.4835609054976644,0.5079051383399209,0.4360162345956282,0.07278042248212668,0.5026262626262626,0.49931728350700677,400.8
PhysioNetMI,16/class,5,0.5255300035932446,0.005306654941049814,0.5182357168523176,0.5324290334171757,0.5094347872461518,0.004822841410423316,0.5296969696969697,0.5403162055335968,563.2
PhysioNetMI,32/class,5,0.5262486525332375,0.013598870625333334,0.512396694214876,0.548598634567014,0.5186807227907839,0.018132342866969946,0.5244444444444445,0.5337634338352987,898.6
PhysioNetMI,FULL,5,0.6281171397772188,0.01556146188223528,0.6046532518864535,0.6442687747035574,0.6257660813912242,0.018085253278367495,0.62989898989899,0.6927906444974358,53.2
