dataset_id,role_id,condition_id,condition_short,budget_id,budget_short,n_repeats,repeat_indices,delta_BACC_mean,delta_BACC_median,delta_BACC_sd,delta_BACC_min,delta_BACC_max,delta_BACC_range,sign_consistency,abs_mean_over_repeat_sd,repeat0,repeat1,repeat2
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,3,0|1|2,0.0659722222222222,0.0763888888888889,0.0477351634891232,0.0138888888888889,0.1076388888888888,0.0937499999999998,ALL_POSITIVE,1.3820466381612873,0.0138888888888889,0.1076388888888888,0.0763888888888889
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,3,0|1|2,0.0254629629629629,0.0034722222222223,0.0505960485981351,-0.0104166666666667,0.0833333333333332,0.09375,MIXED,0.5032599119588453,0.0833333333333332,0.0034722222222223,-0.0104166666666667
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,0|1|2,-0.0162037037037037,-0.0138888888888889,0.0382470176894868,-0.0555555555555556,0.0208333333333333,0.0763888888888889,MIXED,0.4236592728681628,0.0208333333333333,-0.0138888888888889,-0.0555555555555556
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,C2,FULL_TRAIN,FULL,3,0|1|2,0.0416666666666666,0.0381944444444444,0.0091866364967519,0.0347222222222223,0.0520833333333332,0.0173611111111109,ALL_POSITIVE,4.535573676110763,0.0520833333333332,0.0347222222222223,0.0381944444444444
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,3,0|1|2,0.0023148148148148,0.0,0.0174764686001638,-0.0138888888888889,0.0208333333333333,0.0347222222222223,MIXED,0.1324532357065035,0.0208333333333333,-0.0138888888888889,0.0
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,0|1|2,0.0254629629629629,0.0104166666666666,0.0322624070943665,0.0034722222222222,0.0625,0.0590277777777777,ALL_POSITIVE,0.7892456036675929,0.0625,0.0034722222222222,0.0104166666666666
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,3,0|1|2,0.0266203703703703,0.0208333333333333,0.0164090820355993,0.0138888888888888,0.0451388888888889,0.0312500000000001,ALL_POSITIVE,1.6222949164747724,0.0451388888888889,0.0138888888888888,0.0208333333333333
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,3,0|1|2,-0.0381944444444444,-0.0381944444444444,0.0104166666666666,-0.048611111111111,-0.0277777777777777,0.0208333333333332,ALL_NEGATIVE,3.666666666666677,-0.048611111111111,-0.0381944444444444,-0.0277777777777777
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,0|1|2,0.0092592592592592,0.017361111111111,0.0140328190428033,-0.0069444444444444,0.0173611111111111,0.0243055555555555,MIXED,0.6598288790738591,0.017361111111111,0.0173611111111111,-0.0069444444444444
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,C3,FULL_TRAIN,FULL,3,0|1|2,0.0509259259259259,0.048611111111111,0.0382470176894867,0.0138888888888889,0.0902777777777777,0.0763888888888888,ALL_POSITIVE,1.3315005718713662,0.0902777777777777,0.0138888888888889,0.048611111111111
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,3,0|1|2,0.0011574074074073,0.0104166666666666,0.0390271187502022,-0.0416666666666667,0.0347222222222222,0.0763888888888889,MIXED,0.0296564912930285,0.0347222222222222,-0.0416666666666667,0.0104166666666666
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,0|1|2,0.0405092592592592,0.0416666666666666,0.0156571171973017,0.0243055555555554,0.0555555555555555,0.0312500000000001,ALL_POSITIVE,2.587274448340994,0.0243055555555554,0.0416666666666666,0.0555555555555555
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,3,0|1|2,0.0243055555555555,0.0243055555555555,0.0243055555555555,0.0,0.048611111111111,0.048611111111111,MIXED,1.0000000000000009,0.048611111111111,0.0,0.0243055555555555
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,3,0|1|2,-0.0324074074074073,-0.0277777777777777,0.0111616328252233,-0.0451388888888888,-0.0243055555555554,0.0208333333333333,ALL_NEGATIVE,2.903464745245182,-0.0243055555555554,-0.0277777777777777,-0.0451388888888888
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,0|1|2,0.0081018518518518,-0.0104166666666666,0.0382470176894868,-0.017361111111111,0.0520833333333333,0.0694444444444444,MIXED,0.211829636434082,-0.017361111111111,0.0520833333333333,-0.0104166666666666
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,C1,FULL_TRAIN,FULL,3,0|1|2,0.0272222222222222,0.0283333333333333,0.0034694433324435,0.0233333333333333,0.03,0.0066666666666667,ALL_POSITIVE,7.846279536449229,0.03,0.0233333333333333,0.0283333333333333
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,3,0|1|2,0.0305555555555555,0.0233333333333334,0.0185841429818641,0.0166666666666666,0.0516666666666666,0.035,ALL_POSITIVE,1.6441735077788666,0.0516666666666666,0.0233333333333334,0.0166666666666666
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,0|1|2,-0.0022222222222222,-0.01,0.0149381440663875,-0.0116666666666667,0.015,0.0266666666666667,MIXED,0.148761600661121,-0.0116666666666667,-0.01,0.015
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,3,0|1|2,0.0294444444444444,0.0266666666666667,0.0193170429452374,0.0116666666666667,0.05,0.0383333333333333,ALL_POSITIVE,1.524272867639087,0.0266666666666667,0.05,0.0116666666666667
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,3,0|1|2,0.0116666666666666,0.0116666666666666,0.0283333333333333,-0.0166666666666667,0.04,0.0566666666666667,MIXED,0.4117647058823513,0.04,-0.0166666666666667,0.0116666666666666
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,0|1|2,-0.0105555555555556,-0.0216666666666667,0.0283496684937179,-0.0316666666666667,0.0216666666666666,0.0533333333333333,MIXED,0.3723343557930718,-0.0316666666666667,-0.0216666666666667,0.0216666666666666
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,FULL_TRAIN,FULL,3,0|1|2,0.0222222222222222,0.0283333333333333,0.0135742130254117,0.0066666666666667,0.0316666666666667,0.025,ALL_POSITIVE,1.637091018140119,0.0283333333333333,0.0066666666666667,0.0316666666666667
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,3,0|1|2,-0.0072222222222222,-0.0049999999999998,0.0167774098561572,-0.025,0.0083333333333333,0.0333333333333333,MIXED,0.430473016046138,-0.025,-0.0049999999999998,0.0083333333333333
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,0|1|2,0.0077777777777777,-0.0033333333333334,0.0221944270615979,-0.0066666666666666,0.0333333333333333,0.0399999999999999,MIXED,0.35043832202523,-0.0033333333333334,0.0333333333333333,-0.0066666666666666
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,3,0|1|2,-0.0305555555555554,-0.0099999999999998,0.044545025078669,-0.0816666666666665,0.0,0.0816666666666665,MIXED,0.6859476563677454,-0.0099999999999998,0.0,-0.0816666666666665
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,3,0|1|2,-0.0277777777777778,-0.04,0.0365655170486763,-0.0566666666666667,0.0133333333333333,0.07,MIXED,0.7596714068284558,0.0133333333333333,-0.0566666666666667,-0.04
