dataset_id,model_id,metric_id,budget_per_class,budget_id,point_status,value,attempted_repeats,successful_repeats,non_success_repeats,budget_repeat_id,single_frozen_subset_limitation,integration_revision,integration_source,aggregation_rule,source_run_cell_ids_json,successful_repeat_count,planned_repeat_count,scientific_numeric_result_recomputed,scientific_numeric_result_aggregated_from_existing_metrics,full_train_BACC,branch_id,delta_vs_full_BACC,retained_fraction_of_full,budget_label,rank_within_dataset_budget
BNCI2014_001,DNN-EEGNET,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.525,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.6090277777777777,DNN-EEGNET,-0.0840277777777777,0.862029646522235,2,3.0
BNCI2014_001,DNN-EEGNET,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5354166666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.6090277777777777,DNN-EEGNET,-0.07361111111111107,0.879133409350057,4,3.0
BNCI2014_001,DNN-EEGNET,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5416666666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.6090277777777777,DNN-EEGNET,-0.06736111111111098,0.8893956670467504,8,1.0
BNCI2014_001,DNN-EEGNET,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.56875,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.6090277777777777,DNN-EEGNET,-0.040277777777777746,0.9338654503990879,16,1.0
BNCI2014_001,DNN-EEGNET,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5076388888888889,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.6090277777777777,DNN-EEGNET,-0.10138888888888886,0.8335233751425314,32,3.0
BNCI2014_001,SSL-CBRAMOD,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.4979166666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.5506944444444445,SSL-CBRAMOD,-0.05277777777777781,0.9041614123581336,1,3.0
BNCI2014_001,SSL-CBRAMOD,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5069444444444444,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.5506944444444445,SSL-CBRAMOD,-0.04375000000000007,0.9205548549810844,2,4.0
BNCI2014_001,SSL-CBRAMOD,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5083333333333334,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.5506944444444445,SSL-CBRAMOD,-0.04236111111111107,0.9230769230769231,4,4.0
BNCI2014_001,SSL-CBRAMOD,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5208333333333333,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.5506944444444445,SSL-CBRAMOD,-0.029861111111111227,0.9457755359394702,8,2.0
BNCI2014_001,SSL-CBRAMOD,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5277777777777778,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.5506944444444445,SSL-CBRAMOD,-0.022916666666666696,0.9583858764186632,16,2.0
