condition_id,success_rows,evidence_duration_s_median,observation_horizon_s_median,model_evaluations_median,member_count_median,batch1_latency_s_median,batch1_latency_p95_s_median,aggregation_latency_s_median
A4-C0-CORE,357,3.0,3.0,1.0,1.0,0.00200606199996395,0.0022872272997119,0.0
A4-C1-LONG-3P5S,66,3.5,3.5,1.0,1.0,0.0042132954995395,0.0061778794997735,0.0
A4-C2-MULTI-HARD-VOTE,75,2.0,3.5,3.0,3.0,0.0149633370001538,0.0245462252016295,0.002881124999476
A4-C3-MULTI-PROB-AVG,75,2.0,3.5,3.0,3.0,0.0149633370001538,0.0245462252016295,0.0017637750006542
A4-C4-MODEL-HARD-VOTE,135,3.0,3.0,4.0,4.0,0.01521127900196,0.0178709597996203,0.0026246950001223
A4-C5-MODEL-PROB-AVG,135,3.0,3.0,4.0,4.0,0.01521127900196,0.0178709597996203,0.0002398839988018
