dataset_id,model_id,metric_id,budget_per_class,budget_id,point_status,value,attempted_repeats,successful_repeats,non_success_repeats,budget_repeat_id,single_frozen_subset_limitation,branch_id,full_train_BACC,delta_vs_full_BACC,retained_fraction_of_full,budget_label,rank_within_dataset_budget
BNCI2014_001,CLS-CSP-LDA,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,EXPLICIT_NON_SUCCESS,,1,0,1,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.6388888888888888,,,1,
BNCI2014_001,CLS-CSP-LDA,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5277777777777778,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.6388888888888888,-0.11111111111111105,0.8260869565217392,2,2.0
BNCI2014_001,CLS-CSP-LDA,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.6041666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.6388888888888888,-0.0347222222222221,0.9456521739130437,4,1.0
BNCI2014_001,CLS-CSP-LDA,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.4861111111111111,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.6388888888888888,-0.15277777777777773,0.7608695652173914,8,3.0
BNCI2014_001,CLS-CSP-LDA,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5277777777777778,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.6388888888888888,-0.11111111111111105,0.8260869565217392,16,2.0
BNCI2014_001,CLS-CSP-LDA,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.4965277777777778,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.6388888888888888,-0.14236111111111105,0.7771739130434784,32,4.0
BNCI2014_001,RIE-TS-LR,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5416666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.6145833333333334,-0.07291666666666663,0.8813559322033899,1,1.0
BNCI2014_001,RIE-TS-LR,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5625,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.6145833333333334,-0.05208333333333337,0.9152542372881355,2,1.0
BNCI2014_001,RIE-TS-LR,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5902777777777778,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.6145833333333334,-0.02430555555555558,0.9604519774011299,4,2.0
BNCI2014_001,RIE-TS-LR,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.4861111111111111,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.6145833333333334,-0.12847222222222227,0.7909604519774011,8,3.0
BNCI2014_001,RIE-TS-LR,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5208333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.6145833333333334,-0.09375000000000011,0.8474576271186439,16,4.0
BNCI2014_001,RIE-TS-LR,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5208333333333334,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.6145833333333334,-0.09375,0.847457627118644,32,1.0
BNCI2014_001,DNN-EEGNET,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5243055555555556,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.6090277777777777,-0.08472222222222214,0.8608893956670469,1,2.0
BNCI2014_001,DNN-EEGNET,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.525,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.6090277777777777,-0.0840277777777777,0.862029646522235,2,3.0
BNCI2014_001,DNN-EEGNET,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5354166666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.6090277777777777,-0.07361111111111107,0.879133409350057,4,3.0
BNCI2014_001,DNN-EEGNET,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5416666666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.6090277777777777,-0.06736111111111098,0.8893956670467504,8,1.0
BNCI2014_001,DNN-EEGNET,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.56875,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.6090277777777777,-0.040277777777777746,0.9338654503990879,16,1.0
BNCI2014_001,DNN-EEGNET,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5076388888888889,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.6090277777777777,-0.10138888888888886,0.8335233751425314,32,3.0
BNCI2014_001,SSL-CBRAMOD,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.4979166666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.5506944444444445,-0.05277777777777781,0.9041614123581336,1,3.0
BNCI2014_001,SSL-CBRAMOD,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5069444444444444,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.5506944444444445,-0.04375000000000007,0.9205548549810844,2,4.0
BNCI2014_001,SSL-CBRAMOD,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5083333333333334,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.5506944444444445,-0.04236111111111107,0.9230769230769231,4,4.0
BNCI2014_001,SSL-CBRAMOD,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5208333333333333,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.5506944444444445,-0.029861111111111227,0.9457755359394702,8,2.0
