condition_id,success_rows,evidence_duration_s_median,observation_horizon_s_median,model_evaluations_median,member_count_median,batch1_latency_s_median,batch1_latency_p95_s_median,aggregation_latency_s_median
A4-C0-CORE,249,3.0,3.0,1.0,1.0,0.0030065290011407,0.003289016601775,0.0
A4-C1-LONG-3P5S,48,3.5,3.5,1.0,1.0,0.0060246454995649,0.0084843494996675,0.0
A4-C2-MULTI-HARD-VOTE,57,2.0,3.5,3.0,3.0,0.0265570770025078,0.0273336690024734,0.003456043999904
A4-C3-MULTI-PROB-AVG,57,2.0,3.5,3.0,3.0,0.0265570770025078,0.0273336690024734,0.0018124529997294
A4-C4-MODEL-HARD-VOTE,90,3.0,3.0,4.0,4.0,0.02129225450062215,0.0226153881012578,0.0027564530000745
A4-C5-MODEL-PROB-AVG,90,3.0,3.0,4.0,4.0,0.02129225450062215,0.0226153881012578,0.00024196749927795
