failure_code,branch_id,count,total_failurecaseindex_records
CONDITIONAL_SKIP,NEURAL_VALIDATION_SELECTED,288,648
CONDITIONAL_SKIP,SSL_VALIDATION_SELECTED,288,648
CONDITIONAL_SKIP,DNN-EGTC,15,648
DEPENDENCY_BLOCKED,SSL-REVE,3,648
FAILED,CLS-CSP-LDA,3,648
INPUT_INCOMPATIBLE,SSL_VALIDATION_SELECTED,9,648
NOT_APPLICABLE_REPEAT_SLOT,PRE_RESULT_ROLE_MEMBERSHIP,30,648
NOT_APPLICABLE_REPEAT_SLOT,CLASSICAL_VALIDATION_SELECTED,12,648
