group_id,report_id,bin_index,lower,upper,count,mean_confidence,accuracy,absolute_gap
GROUP-199f031460f7228734dd,P03-RELIABILITY-5335ca94f2890b006772,8,0.5333333333333333,0.6,34,0.5684108227154406,0.5,0.06841082271544063
GROUP-199f031460f7228734dd,P03-RELIABILITY-5335ca94f2890b006772,9,0.6,0.6666666666666666,118,0.6051188075943037,0.5254237288135594,0.07969507878074433
GROUP-199f031460f7228734dd,P03-RELIABILITY-5335ca94f2890b006772,10,0.6666666666666666,0.7333333333333333,2,0.7103558908942834,1.0,0.2896441091057166
GROUP-199f031460f7228734dd,P03-RELIABILITY-5335ca94f2890b006772,11,0.7333333333333333,0.8,0,,,
GROUP-199f031460f7228734dd,P03-RELIABILITY-5335ca94f2890b006772,12,0.8,0.8666666666666667,0,,,
GROUP-199f031460f7228734dd,P03-RELIABILITY-5335ca94f2890b006772,13,0.8666666666666667,0.9333333333333333,0,,,
GROUP-199f031460f7228734dd,P03-RELIABILITY-5335ca94f2890b006772,14,0.9333333333333333,1.0,0,,,
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,0,0.0,0.06666666666666667,0,,,
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,1,0.06666666666666667,0.13333333333333333,0,,,
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,2,0.13333333333333333,0.2,0,,,
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,3,0.2,0.26666666666666666,0,,,
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,4,0.26666666666666666,0.3333333333333333,0,,,
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,5,0.3333333333333333,0.4,0,,,
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,6,0.4,0.4666666666666667,0,,,
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,7,0.4666666666666667,0.5333333333333333,275,0.5093365997587729,0.509090909090909,0.0002456906678638404
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,8,0.5333333333333333,0.6,13,0.5394906086974995,0.3076923076923077,0.23179830100519183
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,9,0.6,0.6666666666666666,0,,,
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,10,0.6666666666666666,0.7333333333333333,0,,,
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,11,0.7333333333333333,0.8,0,,,
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,12,0.8,0.8666666666666667,0,,,
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,13,0.8666666666666667,0.9333333333333333,0,,,
GROUP-d66de711e40c0064ac66,P03-RELIABILITY-b22391a48c4a6ab1c702,14,0.9333333333333333,1.0,0,,,
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,0,0.0,0.06666666666666667,0,,,
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,1,0.06666666666666667,0.13333333333333333,0,,,
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,2,0.13333333333333333,0.2,0,,,
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,3,0.2,0.26666666666666666,0,,,
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,4,0.26666666666666666,0.3333333333333333,0,,,
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,5,0.3333333333333333,0.4,0,,,
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,6,0.4,0.4666666666666667,0,,,
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,7,0.4666666666666667,0.5333333333333333,89,0.5160280650114951,0.5280898876404494,0.012061822628954277
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,8,0.5333333333333333,0.6,126,0.5647348535095851,0.5714285714285714,0.006693717918986319
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,9,0.6,0.6666666666666666,59,0.6260211359867394,0.6610169491525424,0.034995813165803025
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,10,0.6666666666666666,0.7333333333333333,14,0.6926928006437949,0.9285714285714286,0.2358786279276337
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,11,0.7333333333333333,0.8,0,,,
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,12,0.8,0.8666666666666667,0,,,
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,13,0.8666666666666667,0.9333333333333333,0,,,
GROUP-b803f4e6ba58c83ec66a,P03-RELIABILITY-86ab5ed54c8bf4900842,14,0.9333333333333333,1.0,0,,,
GROUP-7c47c754a2a2003dba44,P03-RELIABILITY-dd267b26709d8da6ad04,0,0.0,0.06666666666666667,0,,,
GROUP-7c47c754a2a2003dba44,P03-RELIABILITY-dd267b26709d8da6ad04,1,0.06666666666666667,0.13333333333333333,0,,,
GROUP-7c47c754a2a2003dba44,P03-RELIABILITY-dd267b26709d8da6ad04,2,0.13333333333333333,0.2,0,,,
GROUP-7c47c754a2a2003dba44,P03-RELIABILITY-dd267b26709d8da6ad04,3,0.2,0.26666666666666666,0,,,
