budget_short,model_repeat_index,n_effects,BACC_A4_mean,BACC_A4_sd,delta_BACC_mean,delta_BACC_median,delta_BACC_sd,delta_BACC_min,delta_BACC_max,positive_delta_fraction,negative_delta_fraction,delta_F1_mean
128,0,15,0.550907600377956,0.0385265570665138,-0.004679336181312484,-0.008803449514912076,0.029316728435323892,-0.0625,0.05166666666666664,0.4,0.6,-0.008094779349396793
128,1,15,0.5645309717730667,0.038790020926062756,0.0024483105095753394,0.0050000000000000044,0.021846981736739338,-0.04166666666666674,0.03819444444444442,0.5333333333333333,0.4666666666666667,-0.003769924596719284
128,2,15,0.5508451211721963,0.03964395030081886,0.021291525265833566,0.01212720086237884,0.02014562633692294,-0.0027847646424721817,0.06944444444444442,0.8666666666666667,0.06666666666666667,0.028322894633915574
256,0,15,0.5847667152420117,0.04427341418056314,0.016546096671590762,0.01388888888888895,0.024859624105394617,-0.033333333333333326,0.06045634207689543,0.7333333333333333,0.2,0.014854478009444675
256,1,15,0.6163430983085134,0.06367802612446326,0.033251087954645285,0.01823571685231762,0.03513015279968617,-0.0011678045274882143,0.10763888888888884,0.8,0.06666666666666667,0.033595212974253934
256,2,15,0.5915008251154495,0.06328469161200419,0.014393280632411099,0.02083333333333337,0.04676332577853627,-0.08166666666666655,0.08680555555555558,0.8,0.2,0.019949893236558026
64,0,15,0.5393053126788305,0.037360943934327505,0.019216596132604034,0.020930650377290694,0.032242180000948646,-0.04861111111111105,0.08333333333333326,0.8,0.2,0.010793247395951052
64,1,15,0.5190516928175031,0.0286389017523754,-0.006932919444777164,-0.00347222222222221,0.029831280645784147,-0.05833333333333335,0.04491555874955078,0.4,0.6,-0.006722405965528481
64,2,15,0.5147869605142332,0.02448491650028116,-0.022564724983697347,-0.02777777777777779,0.025071441330084338,-0.059647862019403586,0.02499999999999991,0.2,0.8,-0.02027393404197959
