dataset_id,budget_id,budget_short,role_id,model_repeat_index,conditions,complete,terminal_counts,source_partition
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,16,NEURAL,0,3,True,"{""SUCCESS"": 3}",REUSED_PREDECESSOR_MR00_PROBE
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,16,SSL,0,3,True,"{""INPUT_INCOMPATIBLE"": 1, ""SUCCESS"": 2}",REUSED_PREDECESSOR_MR00_PROBE
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,NEURAL,1,3,True,"{""SUCCESS"": 3}",REUSED_PREDECESSOR_ANCHOR_REPEAT
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,NEURAL,2,3,True,"{""SUCCESS"": 3}",REUSED_PREDECESSOR_ANCHOR_REPEAT
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,SSL,1,3,True,"{""INPUT_INCOMPATIBLE"": 1, ""SUCCESS"": 2}",REUSED_PREDECESSOR_ANCHOR_REPEAT
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,SSL,2,3,True,"{""INPUT_INCOMPATIBLE"": 1, ""SUCCESS"": 2}",REUSED_PREDECESSOR_ANCHOR_REPEAT
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,NEURAL,0,3,True,"{""SUCCESS"": 3}",NEW_HIGH_BUDGET_64_128_256
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,NEURAL,1,3,True,"{""SUCCESS"": 3}",NEW_HIGH_BUDGET_64_128_256
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,NEURAL,2,3,True,"{""SUCCESS"": 3}",NEW_HIGH_BUDGET_64_128_256
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,SSL,0,3,True,"{""INPUT_INCOMPATIBLE"": 1, ""SUCCESS"": 2}",NEW_HIGH_BUDGET_64_128_256
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,SSL,1,3,True,"{""INPUT_INCOMPATIBLE"": 1, ""SUCCESS"": 2}",NEW_HIGH_BUDGET_64_128_256
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,SSL,2,3,True,"{""INPUT_INCOMPATIBLE"": 1, ""SUCCESS"": 2}",NEW_HIGH_BUDGET_64_128_256
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,32,NEURAL,0,3,True,"{""SUCCESS"": 3}",REUSED_PREDECESSOR_MR00_PROBE
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,32,SSL,0,3,True,"{""INPUT_INCOMPATIBLE"": 1, ""SUCCESS"": 2}",REUSED_PREDECESSOR_MR00_PROBE
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,4,NEURAL,0,3,True,"{""SUCCESS"": 3}",REUSED_PREDECESSOR_MR00_PROBE
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,4,SSL,0,3,True,"{""INPUT_INCOMPATIBLE"": 1, ""SUCCESS"": 2}",REUSED_PREDECESSOR_MR00_PROBE
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,NEURAL,0,3,True,"{""SUCCESS"": 3}",NEW_HIGH_BUDGET_64_128_256
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,NEURAL,1,3,True,"{""SUCCESS"": 3}",NEW_HIGH_BUDGET_64_128_256
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,NEURAL,2,3,True,"{""SUCCESS"": 3}",NEW_HIGH_BUDGET_64_128_256
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,SSL,0,3,True,"{""INPUT_INCOMPATIBLE"": 1, ""SUCCESS"": 2}",NEW_HIGH_BUDGET_64_128_256
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,SSL,1,3,True,"{""INPUT_INCOMPATIBLE"": 1, ""SUCCESS"": 2}",NEW_HIGH_BUDGET_64_128_256
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,SSL,2,3,True,"{""INPUT_INCOMPATIBLE"": 1, ""SUCCESS"": 2}",NEW_HIGH_BUDGET_64_128_256
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,NEURAL,1,3,True,"{""SUCCESS"": 3}",REUSED_PREDECESSOR_ANCHOR_REPEAT
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,NEURAL,2,3,True,"{""SUCCESS"": 3}",REUSED_PREDECESSOR_ANCHOR_REPEAT
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,SSL,1,3,True,"{""INPUT_INCOMPATIBLE"": 1, ""SUCCESS"": 2}",REUSED_PREDECESSOR_ANCHOR_REPEAT
PhysioNetMI,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,SSL,2,3,True,"{""INPUT_INCOMPATIBLE"": 1, ""SUCCESS"": 2}",REUSED_PREDECESSOR_ANCHOR_REPEAT
