source_partition,terminal_status,cells
NEW_HIGH_BUDGET_64_128_256,INPUT_INCOMPATIBLE,27
NEW_HIGH_BUDGET_64_128_256,SUCCESS,135
REUSED_PREDECESSOR_ANCHOR_REPEAT,INPUT_INCOMPATIBLE,18
REUSED_PREDECESSOR_ANCHOR_REPEAT,SUCCESS,90
REUSED_PREDECESSOR_MR00_PROBE,INPUT_INCOMPATIBLE,9
REUSED_PREDECESSOR_MR00_PROBE,SUCCESS,45
