dataset_id,role_id,condition_id,condition_short,budget_id,budget_short,n_repeats,repeat_indices,delta_BACC_mean,delta_BACC_median,delta_BACC_sd,delta_BACC_min,delta_BACC_max,delta_BACC_range,sign_consistency,abs_mean_over_repeat_sd,repeat0,repeat1,repeat2
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,C1,FULL_TRAIN,FULL,3,0|1|2,0.0011574074074074032,0.01388888888888895,0.041424838352253,-0.04513888888888895,0.03472222222222221,0.07986111111111116,MIXED,0.0279399378113555,-0.04513888888888895,0.03472222222222221,0.01388888888888895
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,3,0|1|2,0.01504629629629628,0.00694444444444442,0.05083377605555033,-0.03125,0.06944444444444442,0.10069444444444442,MIXED,0.29599013616171127,-0.03125,0.00694444444444442,0.06944444444444442
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,0|1|2,-0.0057870370370370905,0.00694444444444442,0.03478004444749241,-0.04513888888888895,0.02083333333333326,0.06597222222222221,MIXED,0.16638958140993199,0.00694444444444442,-0.04513888888888895,0.02083333333333326
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,3,0|1|2,0.039351851851851825,0.02083333333333337,0.03824701768948678,0.01388888888888884,0.08333333333333326,0.06944444444444442,ALL_POSITIVE,1.0288868055369644,0.01388888888888884,0.08333333333333326,0.02083333333333337
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,3,0|1|2,0.003472222222222173,-0.00347222222222221,0.021684020827772182,-0.01388888888888895,0.02777777777777768,0.04166666666666663,MIXED,0.1601281538050851,0.02777777777777768,-0.00347222222222221,-0.01388888888888895
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,0|1|2,-0.04861111111111114,-0.048611111111111216,0.04513888888888895,-0.09375000000000006,-0.0034722222222221544,0.0902777777777779,ALL_NEGATIVE,1.076923076923076,-0.0034722222222221544,-0.048611111111111216,-0.09375000000000006
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,FULL_TRAIN,FULL,3,0|1|2,-0.017361111111111122,-0.02083333333333326,0.01591172116304115,-0.03125000000000011,0.0,0.03125000000000011,MIXED,1.09108945117996,-0.03125000000000011,0.0,-0.02083333333333326
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,3,0|1|2,0.005787037037037017,0.01041666666666663,0.03495293720032753,-0.03125,0.03819444444444442,0.06944444444444442,MIXED,0.16556654463312998,-0.03125,0.03819444444444442,0.01041666666666663
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,0|1|2,-0.01620370370370372,-0.00347222222222221,0.03150615182596344,-0.05208333333333337,0.00694444444444442,0.05902777777777779,MIXED,0.5143028508594518,-0.00347222222222221,-0.05208333333333337,0.00694444444444442
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,3,0|1|2,0.057870370370370385,0.08680555555555558,0.05011721086715503,0.0,0.08680555555555558,0.08680555555555558,MIXED,1.1547005383792515,0.0,0.08680555555555558,0.08680555555555558
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,3,0|1|2,0.005787037037037017,0.01736111111111116,0.04285534393882785,-0.04166666666666674,0.04166666666666663,0.08333333333333337,MIXED,0.1350365323236582,0.04166666666666663,0.01736111111111116,-0.04166666666666674
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,0|1|2,-0.02083333333333337,-0.01736111111111116,0.033122888938088436,-0.055555555555555636,0.010416666666666685,0.06597222222222232,MIXED,0.6289709020331512,0.010416666666666685,-0.01736111111111116,-0.055555555555555636
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,C3,FULL_TRAIN,FULL,3,0|1|2,-0.013888888888888876,-0.00694444444444442,0.028421363791223852,-0.04513888888888895,0.01041666666666674,0.05555555555555569,MIXED,0.4886777774252193,-0.04513888888888895,-0.00694444444444442,0.01041666666666674
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,3,0|1|2,-0.0011574074074074032,0.01736111111111116,0.054496561884229404,-0.0625,0.04166666666666663,0.10416666666666663,MIXED,0.021238172967060917,-0.0625,0.01736111111111116,0.04166666666666663
