budget_short,trajectories,mean_of_trajectory_mean_delta_BACC,median_repeat_sd_delta_BACC,p90_repeat_sd_delta_BACC,max_repeat_sd_delta_BACC,all_positive,all_negative,all_zero,mixed,sign_consistent_fraction
1,15,0.0061726842425129476,0.01565711719730177,0.03195990498700531,0.03478004444749241,7,3,0,5,0.6666666666666666
128,15,0.006353499864698807,0.018584142981864133,0.0461111131334111,0.054496561884229404,2,0,0,13,0.13333333333333333
256,15,0.02139682175288238,0.024305555555555525,0.0466452128494998,0.05011721086715503,8,0,0,7,0.5333333333333333
64,15,-0.0034270160986234924,0.021684020827772182,0.053101643002644465,0.054774813939430414,1,3,0,11,0.26666666666666666
8,15,-0.0063899480088544834,0.015485955405295905,0.03824701768948684,0.04513888888888895,1,3,0,11,0.26666666666666666
FULL,15,0.01765096951065332,0.016326790159939136,0.03563121071357307,0.041424838352253,8,1,0,6,0.6
