file,status,branch,member,recipe_id,execution_device,epochs_completed,best_epoch,test_loaded_after_checkpoint_sealed,test_set_used_for_selection,class_weight_frozen_from_a0
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,145.0,25.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,124.0,4.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,59.0,19.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,65.0,25.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,42.0,2.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,161.0,41.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,155.0,35.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,121.0,1.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,429.0,309.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,123.0,3.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,387.0,267.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,123.0,3.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,528.0,408.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,97.0,57.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,48.0,8.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,45.0,5.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,117.0,77.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,52.0,12.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,41.0,1.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__DNN-EEGNET__0__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,148.0,28.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__DNN-EEGNET__0__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,148.0,28.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__DNN-EEGNET__0__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,148.0,28.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__DNN-EEGNET__0__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,122.0,2.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__SSL-CBRAMOD__0__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,64.0,24.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__SSL-CBRAMOD__0__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,60.0,20.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__SSL-CBRAMOD__0__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,88.0,48.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__SSL-CBRAMOD__0__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__DNN-EEGNET__0__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,346.0,226.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__DNN-EEGNET__0__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,121.0,1.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__DNN-EEGNET__0__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,121.0,1.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__DNN-EEGNET__0__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,121.0,1.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__SSL-CBRAMOD__0__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,46.0,6.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__SSL-CBRAMOD__0__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,46.0,6.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__SSL-CBRAMOD__0__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,52.0,12.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__SSL-CBRAMOD__0__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__1__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,121.0,1.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__1__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,239.0,119.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__1__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,169.0,49.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__1__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,122.0,2.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__2__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,122.0,2.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__2__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,152.0,32.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__2__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,124.0,4.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__2__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,121.0,1.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__1__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,61.0,21.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__1__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,44.0,4.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__1__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,44.0,4.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__1__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__2__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,47.0,7.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__2__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,45.0,5.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__2__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,45.0,5.0,True,False,True
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__2__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-Lee2019_MI__FULL_TRAIN__DNN-EEGNET__1__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,219.0,99.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__DNN-EEGNET__1__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,492.0,372.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__DNN-EEGNET__1__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,257.0,137.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__DNN-EEGNET__1__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,552.0,432.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__DNN-EEGNET__2__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,370.0,250.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__DNN-EEGNET__2__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,225.0,105.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__DNN-EEGNET__2__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,250.0,130.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__DNN-EEGNET__2__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,388.0,268.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__SSL-CBRAMOD__1__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,76.0,36.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__SSL-CBRAMOD__1__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,48.0,8.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__SSL-CBRAMOD__1__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,45.0,5.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__SSL-CBRAMOD__1__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-Lee2019_MI__FULL_TRAIN__SSL-CBRAMOD__2__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,45.0,5.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__SSL-CBRAMOD__2__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,46.0,6.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__SSL-CBRAMOD__2__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,44.0,4.0,True,False,True
A4MEM-Lee2019_MI__FULL_TRAIN__SSL-CBRAMOD__2__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,407.0,287.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,217.0,97.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,324.0,204.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,195.0,75.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,102.0,62.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,102.0,62.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,88.0,48.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,124.0,4.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,166.0,46.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,148.0,28.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,179.0,59.0,True,False,True
