dataset_id,role_id,condition_id,condition_short,budget_id,budget_short,n_repeats,repeat_indices,delta_BACC_mean,delta_BACC_median,delta_BACC_sd,delta_BACC_min,delta_BACC_max,delta_BACC_range,sign_consistency,abs_mean_over_repeat_sd,repeat0,repeat1,repeat2
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,C1,FULL_TRAIN,FULL,3,"[0, 1, 2]",0.0011574074074074032,0.01388888888888895,0.041424838352253,-0.04513888888888895,0.03472222222222221,0.07986111111111116,MIXED,0.0279399378113555,-0.04513888888888895,0.03472222222222221,0.01388888888888895
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",-0.0057870370370370905,0.00694444444444442,0.03478004444749241,-0.04513888888888895,0.02083333333333326,0.06597222222222221,MIXED,0.16638958140993199,0.00694444444444442,-0.04513888888888895,0.02083333333333326
BNCI2014_001,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",-0.04861111111111114,-0.048611111111111216,0.04513888888888895,-0.09375000000000006,-0.0034722222222221544,0.0902777777777779,ALL_NEGATIVE,1.076923076923076,-0.0034722222222221544,-0.048611111111111216,-0.09375000000000006
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,FULL_TRAIN,FULL,3,"[0, 1, 2]",-0.017361111111111122,-0.02083333333333326,0.01591172116304115,-0.03125000000000011,0.0,0.03125000000000011,MIXED,1.09108945117996,-0.03125000000000011,0.0,-0.02083333333333326
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",-0.01620370370370372,-0.00347222222222221,0.03150615182596344,-0.05208333333333337,0.00694444444444442,0.05902777777777779,MIXED,0.5143028508594518,-0.00347222222222221,-0.05208333333333337,0.00694444444444442
BNCI2014_001,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",-0.02083333333333337,-0.01736111111111116,0.033122888938088436,-0.055555555555555636,0.010416666666666685,0.06597222222222232,MIXED,0.6289709020331512,0.010416666666666685,-0.01736111111111116,-0.055555555555555636
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,C3,FULL_TRAIN,FULL,3,"[0, 1, 2]",-0.013888888888888876,-0.00694444444444442,0.028421363791223852,-0.04513888888888895,0.01041666666666674,0.05555555555555569,MIXED,0.4886777774252193,-0.04513888888888895,-0.00694444444444442,0.01041666666666674
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",-0.025462962962962965,-0.020833333333333315,0.024634023904852764,-0.05208333333333337,-0.00347222222222221,0.04861111111111116,ALL_NEGATIVE,1.033650168616866,-0.020833333333333315,-0.05208333333333337,-0.00347222222222221
BNCI2014_001,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",-0.01620370370370376,-0.01388888888888895,0.03824701768948685,-0.055555555555555636,0.020833333333333315,0.07638888888888895,MIXED,0.4236592728681628,0.020833333333333315,-0.01388888888888895,-0.055555555555555636
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,C2,FULL_TRAIN,FULL,3,"[0, 1, 2]",0.041666666666666664,0.03819444444444442,0.009186636496751976,0.03472222222222232,0.05208333333333326,0.01736111111111094,ALL_POSITIVE,4.535573676110763,0.05208333333333326,0.03472222222222232,0.03819444444444442
