branch,successful_member_receipts,recipe_ids,epochs_min,epochs_median,epochs_max,best_epoch_median
DNN-EEGNET,108,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,121.0,171.0,552.0,51.0
SSL-CBRAMOD,81,R6-CBRAMOD-SOURCE-CENTERED-R1,41.0,52.0,127.0,12.0
