run_cell_id,dataset_id,branch_id,condition_id,budget_id,model_repeat_index,subject_id,session_id,n,BACC,F1_MACRO,ACC,ROC_AUC
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR00,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,0,47,0,45,0.5595238095238095,0.5553359683794465,0.5555555555555556,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR00,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,0,48,0,45,0.5770750988142292,0.5769421078673924,0.5777777777777777,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR00,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,0,57,0,45,0.5595238095238095,0.5553359683794465,0.5555555555555556,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR00,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,0,71,0,45,0.4654150197628458,0.4642857142857143,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR00,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,0,93,0,45,0.5335968379446641,0.5333333333333333,0.5333333333333333,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR00,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,0,98,0,45,0.4891304347826087,0.4888888888888889,0.4888888888888889,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR00,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,0,107,0,45,0.37202380952380953,0.37,0.37777777777777777,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR01,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,1,6,0,45,0.3333333333333333,0.3330039525691699,0.3333333333333333,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR01,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,1,27,0,45,0.42292490118577075,0.42193675889328064,0.4222222222222222,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR01,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,1,39,0,45,0.6037549407114624,0.590080971659919,0.6,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR01,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,1,40,0,45,0.6220238095238095,0.6214745175655616,0.6222222222222222,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR01,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,1,47,0,45,0.5327380952380952,0.5324096981692232,0.5333333333333333,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR01,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,1,48,0,45,0.6017786561264822,0.5982142857142857,0.6,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR01,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,1,57,0,45,0.5029761904761905,0.4722080571137175,0.4888888888888889,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR01,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,1,71,0,45,0.5098814229249011,0.5089285714285714,0.5111111111111111,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR01,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,1,93,0,45,0.6432806324110671,0.6428571428571428,0.6444444444444445,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR01,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,1,98,0,45,0.6017786561264822,0.5982142857142857,0.6,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR01,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,1,107,0,45,0.5952380952380952,0.595,0.6,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR02,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,2,6,0,45,0.40476190476190477,0.39881246907471546,0.4,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR02,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,2,27,0,45,0.558300395256917,0.55,0.5555555555555556,0.5
