failure_class,failure_code,count
GOVERNED_TERMINAL_STATE,CONDITIONAL_SKIP,861
GOVERNED_TERMINAL_STATE,NOT_APPLICABLE_REPEAT_SLOT,42
GOVERNED_TERMINAL_STATE,INPUT_INCOMPATIBLE,9
GOVERNED_TERMINAL_STATE,DEPENDENCY_BLOCKED,3
GOVERNED_TERMINAL_STATE,FAILED,3
