budget_short,trajectories,mean_of_trajectory_mean_delta_BACC,median_repeat_sd_delta_BACC,p90_repeat_sd_delta_BACC,max_repeat_sd_delta_BACC,all_positive,all_negative,all_zero,mixed,sign_consistent_fraction
1,15,0.0061726842425129,0.0156571171973017,0.0319599049870053,0.0347800444474924,7,3,0,5,0.6666666666666666
128,15,0.0063534998646988,0.0185841429818641,0.0461111131334111,0.0544965618842294,2,0,0,13,0.1333333333333333
256,15,0.0213968217528823,0.0243055555555555,0.0466452128494998,0.050117210867155,8,0,0,7,0.5333333333333333
64,15,-0.0034270160986234,0.0216840208277721,0.0531016430026444,0.0547748139394304,1,3,0,11,0.2666666666666666
8,15,-0.0063899480088544,0.0154859554052959,0.0382470176894868,0.0451388888888889,1,3,0,11,0.2666666666666666
FULL,15,0.0176509695106533,0.0163267901599391,0.035631210713573,0.041424838352253,8,1,0,6,0.6
