dataset_id,branch_id,participants,BACC_mean,BACC_median,BACC_sd,BACC_min,BACC_max,F1_mean,ACC_mean,ROC_AUC_mean
BNCI2014_001,CLS-CSP-LDA,1,0.6388888888888888,0.6388888888888888,,0.6388888888888888,0.6388888888888888,0.638871473354232,0.6388888888888888,0.6777584876543209
BNCI2014_001,CLS-FBCSP-LR,1,0.6284722222222222,0.6284722222222222,,0.6284722222222222,0.6284722222222222,0.6284677429077801,0.6284722222222222,0.6773726851851851
BNCI2014_001,DIAG-LOGVAR,1,0.5,0.5,,0.5,0.5,0.3333333333333333,0.5,0.5693962191358024
BNCI2014_001,DNN-EEGNET,1,0.6090277777777777,0.6090277777777777,,0.6090277777777777,0.6090277777777777,0.5975607392577175,0.6090277777777777,0.6450038580246914
BNCI2014_001,DNN-FBCNET,1,0.4805555555555555,0.4805555555555555,,0.4805555555555555,0.4805555555555555,0.4784407542796928,0.4805555555555555,0.47429591049382713
BNCI2014_001,DNN-SEQ,1,0.5277777777777778,0.5277777777777778,,0.5277777777777778,0.5277777777777778,0.5234680416171367,0.5277777777777778,0.5530285493827161
BNCI2014_001,RIE-EA-TS,1,0.6111111111111112,0.6111111111111112,,0.6111111111111112,0.6111111111111112,0.5836216244126607,0.6111111111111112,0.6989293981481481
BNCI2014_001,RIE-MDM,1,0.513888888888889,0.513888888888889,,0.513888888888889,0.513888888888889,0.3743793445878848,0.5138888888888888,0.6702835648148148
BNCI2014_001,RIE-TS-LR,1,0.6145833333333334,0.6145833333333334,,0.6145833333333334,0.6145833333333334,0.5865440577348388,0.6145833333333334,0.6986400462962962
BNCI2014_001,SAN-MAJ,1,0.5,0.5,,0.5,0.5,0.3333333333333333,0.5,
BNCI2014_001,SAN-PERM,1,0.5024652777777778,0.5024652777777778,,0.5024652777777778,0.5024652777777778,0.4485038978337237,0.5024652777777778,0.5072853973765432
BNCI2014_001,SAN-PRIOR,1,0.5,0.5,,0.5,0.5,0.3333333333333333,0.5,0.5
BNCI2014_001,SAN-STRAT,1,0.49826388888888884,0.49826388888888884,,0.49826388888888884,0.49826388888888884,0.49798435166361976,0.49826388888888895,0.5
BNCI2014_001,SSL-CBRAMOD,1,0.5506944444444445,0.5506944444444445,,0.5506944444444445,0.5506944444444445,0.5336905786936834,0.5506944444444445,0.5720871913580247
Lee2019_MI,CLS-CSP-LDA,6,0.715,0.7,0.18272930799409273,0.5,0.99,0.6630143331997366,0.715,0.8072666666666667
Lee2019_MI,CLS-FBCSP-LR,6,0.6533333333333333,0.6599999999999999,0.1345610146612557,0.49,0.87,0.6059044986859035,0.6533333333333333,0.7995333333333333
Lee2019_MI,DIAG-LOGVAR,6,0.615,0.605,0.11397368117245317,0.49,0.81,0.5628868949764784,0.615,0.6468666666666666
Lee2019_MI,DNN-EEGNET,6,0.7416666666666667,0.7249999999999999,0.1756606577087387,0.5,0.9800000000000001,0.7225076011902316,0.7416666666666667,0.8057733333333333
Lee2019_MI,DNN-FBCNET,6,0.719,0.6910000000000001,0.1674120664707297,0.55,0.9800000000000001,0.6951197573521993,0.719,0.8158133333333334
Lee2019_MI,DNN-SEQ,6,0.7949999999999999,0.743,0.12905037776000503,0.662,0.9640000000000001,0.7848329856947145,0.7949999999999999,0.8833066666666668
Lee2019_MI,RIE-EA-TS,6,0.7516666666666666,0.78,0.1984355478906606,0.53,1.0,0.7091066609904231,0.7516666666666666,0.8534
Lee2019_MI,RIE-MDM,6,0.6133333333333334,0.62,0.09352361555600097,0.49,0.76,0.544998799361316,0.6133333333333334,0.7800666666666668
Lee2019_MI,RIE-TS-LR,6,0.7466666666666666,0.78,0.2016597794967223,0.51,1.0,0.7000965668592422,0.7466666666666667,0.8532666666666667
Lee2019_MI,SAN-MAJ,6,0.5,0.5,0.0,0.5,0.5,0.3333333333333333,0.5,
Lee2019_MI,SAN-PERM,6,0.5059666666666667,0.5018,0.0101647757804423,0.5006,0.5265,0.4231302693194689,0.5059666666666667,0.507648
Lee2019_MI,SAN-PRIOR,6,0.5,0.5,0.0,0.5,0.5,0.3333333333333333,0.5,0.5
Lee2019_MI,SAN-STRAT,6,0.507,0.5,0.016115210206509897,0.49000000000000005,0.528,0.5055549830772141,0.507,0.5
