dataset_id,branch_id,subject_id,BACC,F1_MACRO,ACC,ROC_AUC
Lee2019_MI,RIE-MDM,6,0.49,0.3288590604026846,0.49,0.6232
Lee2019_MI,RIE-MDM,15,0.76,0.76,0.76,0.836
Lee2019_MI,RIE-MDM,19,0.65,0.612789025334661,0.65,0.8064000000000001
Lee2019_MI,RIE-MDM,30,0.54,0.4414764448761534,0.54,0.6636
Lee2019_MI,RIE-MDM,36,0.63,0.5713127099988413,0.63,0.9864
Lee2019_MI,RIE-TS-LR,3,0.8799999999999999,0.8795664391810518,0.88,0.9736
Lee2019_MI,RIE-TS-LR,6,0.51,0.3855799373040752,0.51,0.6608
Lee2019_MI,RIE-TS-LR,15,0.69,0.6693333333333333,0.69,0.8564
Lee2019_MI,RIE-TS-LR,19,0.87,0.8693598633303186,0.87,0.9492
Lee2019_MI,RIE-TS-LR,30,0.53,0.3967398280066743,0.53,0.6796000000000001
Lee2019_MI,RIE-TS-LR,36,1.0,1.0,1.0,1.0
Lee2019_MI,SAN-MAJ,3,0.5,0.3333333333333333,0.5,
Lee2019_MI,SAN-MAJ,6,0.5,0.3333333333333333,0.5,
Lee2019_MI,SAN-MAJ,15,0.5,0.3333333333333333,0.5,
Lee2019_MI,SAN-MAJ,19,0.5,0.3333333333333333,0.5,
Lee2019_MI,SAN-MAJ,30,0.5,0.3333333333333333,0.5,
Lee2019_MI,SAN-MAJ,36,0.5,0.3333333333333333,0.5,
Lee2019_MI,SAN-PERM,3,0.5006,0.39502138668978637,0.5006,0.49730399999999997
Lee2019_MI,SAN-PERM,6,0.5043,0.4554447629573676,0.5043,0.506552
Lee2019_MI,SAN-PERM,15,0.5008,0.38718288143972834,0.5008,0.49670000000000003
Lee2019_MI,SAN-PERM,19,0.5008,0.44578102832967464,0.5008,0.50718
Lee2019_MI,SAN-PERM,30,0.5028,0.3973754410931963,0.5028,0.511176
Lee2019_MI,SAN-PERM,36,0.5265,0.45797611540705996,0.5265,0.526976
Lee2019_MI,SAN-PRIOR,3,0.5,0.3333333333333333,0.5,0.5
Lee2019_MI,SAN-PRIOR,6,0.5,0.3333333333333333,0.5,0.5
Lee2019_MI,SAN-PRIOR,15,0.5,0.3333333333333333,0.5,0.5
Lee2019_MI,SAN-PRIOR,19,0.5,0.3333333333333333,0.5,0.5
Lee2019_MI,SAN-PRIOR,30,0.5,0.3333333333333333,0.5,0.5
Lee2019_MI,SAN-PRIOR,36,0.5,0.3333333333333333,0.5,0.5
Lee2019_MI,SAN-STRAT,3,0.49749999999999994,0.49649608992521477,0.49749999999999994,0.5
Lee2019_MI,SAN-STRAT,6,0.5,0.4985423280482655,0.5,0.5
Lee2019_MI,SAN-STRAT,15,0.5265000000000001,0.525234801976421,0.5265,0.5
Lee2019_MI,SAN-STRAT,19,0.5,0.49895766746248327,0.5,0.5
Lee2019_MI,SAN-STRAT,30,0.528,0.5266806121140981,0.528,0.5
Lee2019_MI,SAN-STRAT,36,0.49000000000000005,0.48741839893680233,0.49000000000000005,0.5
Lee2019_MI,SSL-CBRAMOD,3,0.752,0.7506243879378915,0.752,0.84504
Lee2019_MI,SSL-CBRAMOD,6,0.534,0.49199992168012424,0.534,0.56864
Lee2019_MI,SSL-CBRAMOD,15,0.528,0.4616003023411932,0.528,0.55304
Lee2019_MI,SSL-CBRAMOD,19,0.788,0.7860014688663757,0.788,0.8752000000000001
Lee2019_MI,SSL-CBRAMOD,30,0.514,0.49703847859615635,0.514,0.55288
Lee2019_MI,SSL-CBRAMOD,36,0.892,0.8908861275497966,0.892,0.9785600000000001
PhysioNetMI,CLS-CSP-LDA,6,0.4791666666666666,0.4722080571137175,0.4888888888888889,0.4682539682539683
PhysioNetMI,CLS-CSP-LDA,27,0.5424901185770751,0.4444444444444444,0.5333333333333333,0.6521739130434783
PhysioNetMI,CLS-CSP-LDA,39,0.4634387351778656,0.4534412955465586,0.4666666666666667,0.4130434782608695
PhysioNetMI,CLS-CSP-LDA,40,0.4761904761904761,0.3076923076923077,0.4444444444444444,0.6011904761904762
