dataset_id,authority_status,active_for_run,admitted,reason
PhysioNetMI,PRIMARY_SELECTED,True,True,ACTIVE_AND_AUTHORIZED
BNCI2014_001,PRIMARY_SELECTED,True,True,ACTIVE_AND_AUTHORIZED
Lee2019_MI,PRIMARY_SELECTED_WITH_SOURCE_QUALIFICATIONS,True,True,ACTIVE_AND_AUTHORIZED
Cho2017,SCREENED_FALLBACK,False,False,INACTIVE_SCREENED_OR_NOT_AUTHORIZED
GuttmannFlury2025_MI,SCREENED_CURRENT_DELTA_CANDIDATE,False,False,INACTIVE_SCREENED_OR_NOT_AUTHORIZED
