dataset_id,n,median_delta_BACC,ci_low,ci_high,p_value,rank_biserial
BNCI2014_001,5,-0.03472222222222221,-0.07638888888888895,-0.0347222222222221,0.125,-0.8666666666666667
Lee2019_MI,30,0.010000000000000009,-0.0050000000000000044,0.025000000000000022,0.23092203251433552,0.25862068965517243
PhysioNetMI,55,0.0,-0.03434779149156312,0.0029761904761905766,0.45518541901492204,-0.11901306240928883
