dataset_id,branch_id,participants,mean_BACC,median_BACC,sd_BACC,min_BACC,q1_BACC,q3_BACC,max_BACC,range_BACC
BNCI2014_001,CLS-CSP-LDA,1,0.6388888888888888,0.6388888888888888,,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.0
BNCI2014_001,CLS-FBCSP-LR,1,0.6284722222222222,0.6284722222222222,,0.6284722222222222,0.6284722222222222,0.6284722222222222,0.6284722222222222,0.0
BNCI2014_001,RIE-TS-LR,1,0.6145833333333334,0.6145833333333334,,0.6145833333333334,0.6145833333333334,0.6145833333333334,0.6145833333333334,0.0
BNCI2014_001,RIE-EA-TS,1,0.6111111111111112,0.6111111111111112,,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.0
BNCI2014_001,DNN-EEGNET,1,0.6090277777777777,0.6090277777777777,,0.6090277777777777,0.6090277777777777,0.6090277777777777,0.6090277777777777,0.0
BNCI2014_001,SSL-CBRAMOD,1,0.5506944444444445,0.5506944444444445,,0.5506944444444445,0.5506944444444445,0.5506944444444445,0.5506944444444445,0.0
BNCI2014_001,DNN-SEQ,1,0.5277777777777778,0.5277777777777778,,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.0
BNCI2014_001,RIE-MDM,1,0.513888888888889,0.513888888888889,,0.513888888888889,0.513888888888889,0.513888888888889,0.513888888888889,0.0
BNCI2014_001,DNN-FBCNET,1,0.4805555555555555,0.4805555555555555,,0.4805555555555555,0.4805555555555555,0.4805555555555555,0.4805555555555555,0.0
Lee2019_MI,DNN-SEQ,6,0.795,0.743,0.12905037776000503,0.662,0.716,0.899,0.9640000000000001,0.30200000000000005
Lee2019_MI,RIE-EA-TS,6,0.7516666666666666,0.78,0.1984355478906606,0.53,0.5700000000000001,0.8849999999999999,1.0,0.47
Lee2019_MI,RIE-TS-LR,6,0.7466666666666667,0.78,0.2016597794967223,0.51,0.5700000000000001,0.8775,1.0,0.49
Lee2019_MI,DNN-EEGNET,6,0.7416666666666667,0.7249999999999999,0.17566065770873876,0.5,0.6465,0.856,0.9800000000000001,0.4800000000000001
Lee2019_MI,DNN-FBCNET,6,0.719,0.6910000000000001,0.16741206647072968,0.55,0.5865,0.8105,0.9800000000000001,0.43000000000000005
Lee2019_MI,CLS-CSP-LDA,6,0.715,0.7,0.18272930799409276,0.5,0.5925,0.8075000000000001,0.99,0.49
Lee2019_MI,SSL-CBRAMOD,6,0.6680000000000001,0.643,0.16303619230097346,0.514,0.5295000000000001,0.779,0.892,0.378
Lee2019_MI,CLS-FBCSP-LR,6,0.6533333333333333,0.6599999999999999,0.1345610146612557,0.49,0.5625,0.6975,0.87,0.38
Lee2019_MI,RIE-MDM,6,0.6133333333333334,0.62,0.09352361555600096,0.49,0.5575,0.645,0.76,0.27
PhysioNetMI,DNN-SEQ,11,0.649724517906336,0.5982142857142858,0.1352741203846995,0.5160714285714285,0.5620682759269716,0.717885375494071,0.9294466403162055,0.413375211744777
PhysioNetMI,DNN-EEGNET,11,0.627510993617713,0.5785714285714285,0.12418518333211792,0.5083333333333333,0.5330674760022587,0.6973920101637493,0.8347826086956521,0.3264492753623188
PhysioNetMI,DNN-FBCNET,11,0.6181679157469671,0.5622529644268774,0.12781728701467857,0.4762845849802371,0.5482142857142858,0.6833639186900056,0.8363636363636363,0.3600790513833992
PhysioNetMI,RIE-EA-TS,11,0.6179921034170046,0.5612648221343874,0.11551215266202608,0.5059523809523809,0.5504893657067571,0.6466097308488613,0.8883399209486166,0.38238753999623565
PhysioNetMI,RIE-TS-LR,11,0.6132278459353557,0.5622529644268774,0.11757910634162895,0.5098814229249011,0.5401785714285714,0.6451216356107661,0.8883399209486166,0.37845849802371545
PhysioNetMI,CLS-CSP-LDA,11,0.5960187704258851,0.5424901185770751,0.14774397990269145,0.4446640316205533,0.47767857142857134,0.6796772068511199,0.8675889328063241,0.4229249011857708
PhysioNetMI,CLS-FBCSP-LR,11,0.5643960782300704,0.5476190476190476,0.12217401690101136,0.4209486166007905,0.4841897233201581,0.6129246659137964,0.8448616600790514,0.42391304347826086
PhysioNetMI,SSL-CBRAMOD,11,0.5450254949266807,0.4934523809523809,0.09164420676541263,0.4583333333333333,0.4809523809523809,0.6234189723320158,0.691304347826087,0.23297101449275365
PhysioNetMI,RIE-MDM,11,0.5099445185907636,0.5,0.05209643491902867,0.4166666666666666,0.5,0.5044642857142857,0.6383399209486166,0.22167325428195
